gene,rho,p,n,med_log10tpm
ADAM33,-0.5527428638971514,0.0005746400307667976,35,0.24219743422614343
ELN,-0.5522132365091926,0.0005831592063768034,35,1.112601818037121
SNHG11,-0.551993979129339,0.0007132929364510431,34,1.1446334937532037
PRPF6,-0.5515119242962015,0.000594612298635673,35,1.7820177312921144
COMMD6,-0.5513401412378515,0.0005974479165442415,35,2.3047841459905265
LINC01237,-0.5502761265487713,0.0007469916973856066,34,0.09760298008343729
EEF1D,-0.5436572275107011,0.0007371973149861956,35,2.9007914024123043
TRMT12,-0.5417406947928639,0.0009361635632063594,34,0.9499711612685808
DNAJB12,-0.5416935533143261,0.000777260670867904,35,1.4016687726447485
PUS3,-0.5393090917901564,0.0008284896206472307,35,1.0144012804088813
CHKA,-0.5383272546919687,0.0008504367268058168,35,1.3376921603814584
RBFOX3,-0.537636299537735,0.0008661881911148914,35,0.021415900301123766
TRIM58,-0.5370699866416069,0.0008792898736335768,35,0.027839085518037467
SHISA6,-0.5370648927085848,0.0008794085121594727,35,0.02540213686076333
SPIN2A,-0.5368920978470618,0.0008834413176350146,35,0.11825017218438305
RNF103,-0.5361907365174119,0.0008999784043044391,35,1.2395799903111118
STMND1,-0.53566578038095,0.0010953795845958737,34,0.025243332261113284
KCNQ4,-0.5356622682826027,0.0009126189343523602,35,0.19493317159624754
OR2W3,-0.5352904009267947,0.0009216074235041379,35,0.012879277932489552
TSNARE1,-0.535241480954808,0.0009227956779904529,35,1.0927647033432994
LGR6,-0.5349609560696115,0.0009296357165914732,35,0.23988856846925363
TRMT61A,-0.5349609560696115,0.0009296357165914732,35,1.0580698632752454
MTG2,-0.5345480923478739,0.0011271357832273036,34,1.5052404397829406
MAP1LC3A,-0.5336985940862276,0.0009609729689029206,35,1.5561000965079588
DIDO1,-0.5335583316436293,0.0009645117854204921,35,1.3430178681933542
TIMM9,-0.5325764945454418,0.0009896071823192493,35,1.7268169756699907
KCNA5,-0.5324362321028435,0.0009932388644860784,35,0.059114882377893654
ARAF,-0.5317349198898524,0.001011574224072577,35,1.6939489625839557
TMEM216,-0.531454395004656,0.0010189915530397094,35,1.2654430871849343
GDPD5,-0.5306128203490666,0.0010415321657410576,35,0.838481484305385
RBP2,-0.5292075149437101,0.0010801527881506641,35,0.021892286864127072
PNLIPRP1,-0.5285551984387636,0.0010985047443230966,35,0.0
GRM7,-0.5278359010505167,0.0011190591516770211,35,0.00855929506351065
RIIAD1,-0.52742468000003,0.0011309616679455931,35,0.1398397463512161
PALD1,-0.5272024558083096,0.0013567407752669554,34,0.6747222966369661
ZNF572,-0.5259841597433255,0.0011735409173297727,35,0.29403855525021755
COMMD7,-0.5255633724155309,0.0011862421274241467,35,1.7661945220843902
SPIN2B,-0.5244412728747451,0.0012207056334271335,35,0.912130775994776
ZSWIM1,-0.5244412728747451,0.0012207056334271335,35,0.8855615260906886
OACYLP,-0.5230739439385883,0.0015030211765766634,34,0.04536114820965426
ARFGAP2,-0.5226178611209682,0.0012785903356277214,35,1.6862393697758247
LAMP1,-0.5220568113505752,0.0012968801895392565,35,2.203822560118989
PQBP1,-0.5216360240227806,0.0013107481994970836,35,1.9211063176402339
OSER1,-0.5215035186246526,0.0015621903137910953,34,1.4916961940709457
MISFA,-0.5213032243616706,0.00186522193701301,33,0.17321590559909777
SLC30A2,-0.5191476562069173,0.0013954555283442048,35,0.08159283443760258
GSPT2,-0.5180956142124423,0.001432691186995338,35,0.6900937872004738
SPMIP5,-0.5179844069518557,0.0020176619467010544,33,0.027358579023506236
CHRM1,-0.5170306916325194,0.0014712688653572368,35,0.015942475904248223
CAMLG,-0.5170073634170393,0.001472124060482575,35,1.491069343289387
SLC24A3,-0.5165865760892447,0.0014876249438029367,35,0.5715565109491716
ADRA2A,-0.5164463136466465,0.0014928236568488575,35,0.39308834518749863
ITIH5,-0.5160255263188518,0.0015085156300830062,35,0.6476463035599158
HCAR1,-0.5151839516632625,0.0015403345722893348,35,0.08478711871731416
IGSF22,-0.5148693520960524,0.0015523795919640557,35,0.22007904689590285
LEFTY2,-0.5147631643354679,0.001556463801585047,35,0.048979094993999224
