cancer_code,cohort,n_samples,cta,q1,median,q3
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,CAGE1,0.0345,0.070311,0.157337
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,CGB8,0.0,0.260887,0.781655
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,COX7B2,0.0,0.0,0.0
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,CTCFL,0.0,0.01208,8.597485
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,DPEP3,0.0,0.023721,0.061318
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,EGFL6,1.468992,3.216634,8.192792
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,FATE1,0.040189,0.109492,0.276626
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,HORMAD1,0.066808,1.51645,5.84979
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,LIN28B,0.0,0.0,0.0
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,LRRC36,0.152865,0.29239,0.614741
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA1,0.0,0.0,0.032664
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA12,0.0,0.0,0.012349
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA2,0.0,0.0,0.023383
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA3,0.0,0.0,0.168611
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA4,0.0,0.0,0.862397
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA6,0.0,0.0,0.123141
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEA9B,0.0,0.0,0.034936
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEC1,0.0,0.0,0.0
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,MAGEC2,0.0,0.0,0.011734
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PAGE2,0.0,0.0,0.103268
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PAGE2B,0.045097,0.159726,0.37562
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PAGE5,0.0,0.0,0.115318
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PHF7,2.277016,3.431372,4.715534
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PIWIL1,0.0,0.011872,0.112205
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,PRAME,0.045789,0.194011,10.391753
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,RNF148,0.044513,0.087924,0.168954
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,SMC1B,1.696303,5.759117,9.531386
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,SPATA32,0.046231,0.105416,0.206247
