Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
SLC6A1,ENSG00000157103,Sodium- and chloride-dependent GABA transporter 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA5,ENSG00000169684,Neuronal acetylcholine receptor subunit alpha-5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADORA1,ENSG00000163485,Adenosine receptor A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRPR,ENSG00000126010,Gastrin-releasing peptide receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AGTR1,ENSG00000144891,Type-1 angiotensin II receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OXTR,ENSG00000180914,Oxytocin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC7A1,ENSG00000139514,High affinity cationic amino acid transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSTR1,ENSG00000139874,Somatostatin receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSTR2,ENSG00000180616,Somatostatin receptor type 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNB4,ENSG00000117971,Neuronal acetylcholine receptor subunit beta-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR1F,ENSG00000179097,5-hydroxytryptamine receptor 1F,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1E1,ENSG00000180016,Olfactory receptor 1E1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10J1,ENSG00000196184,Olfactory receptor 10J1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GNRHR,ENSG00000109163,Gonadotropin-releasing hormone receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CALCR,ENSG00000004948,Calcitonin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NTSR1,ENSG00000101188,Neurotensin receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD52,ENSG00000169442,CAMPATH-1 antigen,GPI_anchored,CD52,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSTR4,ENSG00000132671,Somatostatin receptor type 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A2,ENSG00000140675,Sodium/glucose cotransporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A6,ENSG00000131389,Sodium- and chloride-dependent taurine transporter,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRA5,ENSG00000186297,Gamma-aminobutyric acid receptor subunit alpha-5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A4,ENSG00000108576,Sodium-dependent serotonin transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL2RG,ENSG00000147168,Cytokine receptor common subunit gamma,CSPA_validated,CD132,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR2B,ENSG00000072694,Low affinity immunoglobulin gamma Fc region receptor II-b,Predicted,CD32,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR2C,,Low affinity immunoglobulin gamma Fc region receptor II-c,Predicted,CD32,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM8,ENSG00000124469,Carcinoembryonic antigen-related cell adhesion molecule 8,GPI_anchored,CD66b,Bausch-Fluck et al. 2018 PNAS 115:E10988
L1CAM,ENSG00000198910,Neural cell adhesion molecule L1,CSPA_validated,CD171,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCKAR,ENSG00000163394,Cholecystokinin receptor type A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCKBR,ENSG00000110148,Gastrin/cholecystokinin type B receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VIPR1,ENSG00000114812,Vasoactive intestinal polypeptide receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MC4R,ENSG00000166603,Melanocortin receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCR1,ENSG00000163823,C-C chemokine receptor type 1,CSPA_validated,CD191,Bausch-Fluck et al. 2018 PNAS 115:E10988
BRS3,ENSG00000102239,Bombesin receptor subtype-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCR7,ENSG00000126353,C-C chemokine receptor type 7,CSPA_validated,CD197,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR183,ENSG00000169508,G-protein coupled receptor 183,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA3,ENSG00000080644,Neuronal acetylcholine receptor subunit alpha-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CXCR5,ENSG00000160683,C-X-C chemokine receptor type 5,CSPA_validated,CD185,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC8A1,ENSG00000183023,Sodium/calcium exchanger 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSTR3,ENSG00000278195,Somatostatin receptor type 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DSG3,ENSG00000134757,Desmoglein-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSF2RB,ENSG00000100368,Cytokine receptor common subunit beta,CSPA_validated,CD131,Bausch-Fluck et al. 2018 PNAS 115:E10988
ICAM3,ENSG00000076662,Intercellular adhesion molecule 3,CSPA_validated,CD50,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD70,ENSG00000125726,CD70 antigen,Predicted,CD70,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFSF8,ENSG00000106952,Tumor necrosis factor ligand superfamily member 8,Predicted,CD153,Bausch-Fluck et al. 2018 PNAS 115:E10988
MC5R,ENSG00000176136,Melanocortin receptor 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH5,ENSG00000179776,Cadherin-5,CSPA_validated,CD144,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC1,ENSG00000103222,Multidrug resistance-associated protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD80,ENSG00000121594,T-lymphocyte activation antigen CD80,CSPA_validated,CD80,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADORA3,ENSG00000121933,Adenosine receptor A3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SDC2,ENSG00000169439,Syndecan-2,Predicted,CD362,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD68,ENSG00000129226,Macrosialin,CSPA_validated,CD68,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRA3,ENSG00000011677,Gamma-aminobutyric acid receptor subunit alpha-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EVI2B,ENSG00000185862,Protein EVI2B,Predicted,CD361,Bausch-Fluck et al. 2018 PNAS 115:E10988
RYK,ENSG00000163785,Tyrosine-protein kinase RYK,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR7,ENSG00000148680,5-hydroxytryptamine receptor 7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNR2,ENSG00000188822,Cannabinoid receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRHR,ENSG00000174417,Thyrotropin-releasing hormone receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1D2,ENSG00000184166,Olfactory receptor 1D2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGER1,ENSG00000160951,Prostaglandin E2 receptor EP1 subtype,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CRHR1,ENSG00000120088,Corticotropin-releasing factor receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPC1,ENSG00000063660,Glypican-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTC,ENSG00000174808,Probetacellulin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJA4,ENSG00000187513,Gap junction alpha-4 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSTR5,ENSG00000162009,Somatostatin receptor type 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRA1A,ENSG00000120907,Alpha-1A adrenergic receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HRH1,ENSG00000196639,Histamine H1 receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRA1B,ENSG00000170214,Alpha-1B adrenergic receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPRM1,ENSG00000112038,Mu-type opioid receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGER4,ENSG00000171522,Prostaglandin E2 receptor EP4 subtype,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MAS1L,ENSG00000204687,Mas-related G-protein coupled receptor MRG,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
APLNR,ENSG00000134817,Apelin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DRD3,ENSG00000151577,D(3) dopamine receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCN1A,ENSG00000144285,Sodium channel protein type 1 subunit alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCN4A,ENSG00000007314,Sodium channel protein type 4 subunit alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TIE1,ENSG00000066056,Tyrosine-protein kinase receptor Tie-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BSG,ENSG00000172270,Basigin,CSPA_validated,CD147,Bausch-Fluck et al. 2018 PNAS 115:E10988
FLT4,ENSG00000037280,Vascular endothelial growth factor receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KDR,ENSG00000128052,Vascular endothelial growth factor receptor 2,Predicted,CD309,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA7,ENSG00000175344,Neuronal acetylcholine receptor subunit alpha-7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FLT3,ENSG00000122025,Receptor-type tyrosine-protein kinase FLT3,CSPA_validated,CD135,Bausch-Fluck et al. 2018 PNAS 115:E10988
BMPR1A,ENSG00000107779,Bone morphogenetic protein receptor type-1A,Predicted,CD292,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACVR1B,ENSG00000135503,Activin receptor type-1B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TGFBR1,ENSG00000106799,TGF-beta receptor type-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LTBR,ENSG00000111321,Tumor necrosis factor receptor superfamily member 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACVRL1,ENSG00000139567,Serine/threonine-protein kinase receptor R3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCNN1A,ENSG00000111319,Amiloride-sensitive sodium channel subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TGFBR2,ENSG00000163513,TGF-beta receptor type-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AVPR1A,ENSG00000166148,Vasopressin V1a receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IFNGR2,ENSG00000159128,Interferon gamma receptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPAM1,ENSG00000106304,Hyaluronidase PH-20,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGAE,ENSG00000083457,Integrin alpha-E,CSPA_validated,CD103,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIK1,ENSG00000171189,"Glutamate receptor ionotropic, kainate 1",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCT,ENSG00000080166,L-dopachrome tautomerase,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL6ST,ENSG00000134352,Interleukin-6 receptor subunit beta,CSPA_validated,CD130,Bausch-Fluck et al. 2018 PNAS 115:E10988
GP5,ENSG00000178732,Platelet glycoprotein V,CSPA_validated,CD42d,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM3,ENSG00000170956,Carcinoembryonic antigen-related cell adhesion molecule 3,Predicted,CD66d,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM6,ENSG00000086548,Carcinoembryonic antigen-related cell adhesion molecule 6,CSPA_validated,CD66c,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD96,ENSG00000153283,T-cell surface protein tactile,CSPA_validated,CD96,Bausch-Fluck et al. 2018 PNAS 115:E10988
MPL,ENSG00000117400,Thrombopoietin receptor,Predicted,CD110,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD79B,ENSG00000007312,B-cell antigen receptor complex-associated protein beta chain,CSPA_validated,CD79b,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A3,ENSG00000091138,Chloride anion exchanger,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PMEL,ENSG00000185664,Melanocyte protein PMEL,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPRD1,ENSG00000116329,Delta-type opioid receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPRK1,ENSG00000082556,Kappa-type opioid receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPRL1,ENSG00000125510,Nociceptin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CASR,ENSG00000036828,Extracellular calcium-sensing receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AQP2,ENSG00000167580,Aquaporin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD200,ENSG00000091972,OX-2 membrane glycoprotein,CSPA_validated,CD200,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY2,ENSG00000175591,P2Y purinoceptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC19A1,ENSG00000173638,Folate transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADCYAP1R1,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VIPR2,ENSG00000106018,Vasoactive intestinal polypeptide receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRM5,ENSG00000168959,Metabotropic glutamate receptor 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR2B,ENSG00000135914,5-hydroxytryptamine receptor 2B,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCR2,ENSG00000121807,C-C chemokine receptor type 2,Predicted,CD192,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN7,ENSG00000156298,Tetraspanin-7,Predicted,CD231,Bausch-Fluck et al. 2018 PNAS 115:E10988
MC3R,ENSG00000124089,Melanocortin receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD86,ENSG00000114013,T-lymphocyte activation antigen CD86,CSPA_validated,CD86,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIA1,ENSG00000155511,Glutamate receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIA2,ENSG00000120251,Glutamate receptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIA3,ENSG00000125675,Glutamate receptor 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPP6,ENSG00000130226,Dipeptidyl aminopeptidase-like protein 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL12RB1,ENSG00000096996,Interleukin-12 receptor subunit beta-1,Predicted,CD212,Bausch-Fluck et al. 2018 PNAS 115:E10988
LIFR,ENSG00000113594,Leukemia inhibitory factor receptor,CSPA_validated,CD118,Bausch-Fluck et al. 2018 PNAS 115:E10988
ECE1,ENSG00000117298,Endothelin-converting enzyme 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC1A3,ENSG00000079215,Excitatory amino acid transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC1A2,ENSG00000110436,Excitatory amino acid transporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC1A1,ENSG00000106688,Excitatory amino acid transporter 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC1A4,ENSG00000115902,Neutral amino acid transporter A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGFR,ENSG00000122420,Prostaglandin F2-alpha receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGER3,ENSG00000050628,Prostaglandin E2 receptor EP3 subtype,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGER2,ENSG00000125384,Prostaglandin E2 receptor EP2 subtype,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTGIR,ENSG00000160013,Prostacyclin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MCAM,ENSG00000076706,Cell surface glycoprotein MUC18,CSPA_validated,CD146,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCC,ENSG00000187323,Netrin receptor DCC,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLP1R,ENSG00000112164,Glucagon-like peptide 1 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SSR1,ENSG00000124783,Translocon-associated protein subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF4,ENSG00000186827,Tumor necrosis factor receptor superfamily member 4,Predicted,CD134,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DL1,ENSG00000125498,Killer cell immunoglobulin-like receptor 2DL1,Predicted,CD158a,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DL2,ENSG00000275546,Killer cell immunoglobulin-like receptor 2DL2,Predicted,CD158b1,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DL3,ENSG00000243772,Killer cell immunoglobulin-like receptor 2DL3,CSPA_validated,CD158b2,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR3DL1,ENSG00000167633,Killer cell immunoglobulin-like receptor 3DL1,CSPA_validated,CD158e,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR3DL2,ENSG00000240403,Killer cell immunoglobulin-like receptor 3DL2,CSPA_validated,CD158k,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DS2,ENSG00000277885,Killer cell immunoglobulin-like receptor 2DS2,Predicted,CD158j,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DS4,ENSG00000276885,Killer cell immunoglobulin-like receptor 2DS4,CSPA_validated,CD158i,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPAR6,ENSG00000139679,Lysophosphatidic acid receptor 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA4,ENSG00000101204,Neuronal acetylcholine receptor subunit alpha-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC15A1,ENSG00000088386,Solute carrier family 15 member 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR3,ENSG00000181773,G-protein coupled receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR1,ENSG00000183671,G-protein coupled receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCR10,ENSG00000184451,C-C chemokine receptor type 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR4,ENSG00000177464,G-protein coupled receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
XCR1,ENSG00000173578,Chemokine XC receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR6,ENSG00000146360,G-protein coupled receptor 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR3A,ENSG00000166736,5-hydroxytryptamine receptor 3A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NOTCH1,ENSG00000148400,Neurogenic locus notch homolog protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BDKRB1,ENSG00000100739,B1 bradykinin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO1A2,ENSG00000084453,Solute carrier organic anion transporter family member 1A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GALR1,ENSG00000166573,Galanin receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR12,ENSG00000132975,G-protein coupled receptor 12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RGR,ENSG00000148604,RPE-retinal G protein-coupled receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRA2,ENSG00000151834,Gamma-aminobutyric acid receptor subunit alpha-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRB2,ENSG00000145864,Gamma-aminobutyric acid receptor subunit beta-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GCGR,ENSG00000215644,Glucagon receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCTR,ENSG00000080293,Secretin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR3A1,ENSG00000180090,Olfactory receptor 3A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR3A4P,,Putative olfactory receptor 3A4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1D4,,Olfactory receptor 1D4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1E2,ENSG00000127780,Olfactory receptor 1E2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR3A3,ENSG00000159961,Olfactory receptor 3A3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1G1,ENSG00000183024,Olfactory receptor 1G1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR3A2,ENSG00000221882,Olfactory receptor 3A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR5A,ENSG00000157219,5-hydroxytryptamine receptor 5A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY1,ENSG00000169860,P2Y purinoceptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AVPR1B,ENSG00000198049,Vasopressin V1b receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FASLG,ENSG00000117560,Tumor necrosis factor ligand superfamily member 6,Predicted,CD178,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A8,ENSG00000130821,Sodium- and chloride-dependent creatine transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MTNR1A,ENSG00000168412,Melatonin receptor type 1A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNJ4,ENSG00000168135,Inward rectifier potassium channel 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIA4,ENSG00000152578,Glutamate receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLIPR1,ENSG00000139278,Glioma pathogenesis-related protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A12,ENSG00000111181,Sodium- and chloride-dependent betaine transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A11,ENSG00000132164,Sodium- and chloride-dependent GABA transporter 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A9,ENSG00000196517,Sodium- and chloride-dependent glycine transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPBWR1,ENSG00000183729,Neuropeptides B/W receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPBWR2,ENSG00000125522,Neuropeptides B/W receptor type 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLRB,ENSG00000109738,Glycine receptor subunit beta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRA4,ENSG00000109158,Gamma-aminobutyric acid receptor subunit alpha-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM4SF4,ENSG00000169903,Transmembrane 4 L6 family member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LEPR,ENSG00000116678,Leptin receptor,CSPA_validated,CD295,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD151,ENSG00000177697,CD151 antigen,Predicted,CD151,Bausch-Fluck et al. 2018 PNAS 115:E10988
GIPR,ENSG00000010310,Gastric inhibitory polypeptide receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
